basic word,probability,word form Word2Vec
docente,0.027999996662139894,docente
docente,0.02177023959159851,docentes
docente,0.01897322130203247,professor
docente,0.018067270994186403,professores
docente,0.01804373073577881,Docente
docente,0.01723473858833313,aluno
docente,0.016128843784332277,pedagógica
docente,0.01607498240470886,pedagógico
docente,0.016017375946044923,acadêmica
docente,0.016005489826202392,professora
docente,0.01593572187423706,educador
docente,0.015860226154327393,profissional
docente,0.015633305072784424,estudante
docente,0.015627744197845458,acadêmico
docente,0.015019048690795898,universitário
docente,0.01500804877281189,universitária
docente,0.014961373805999757,alunos
docente,0.014894199371337891,educacional
docente,0.014871443510055543,escolar
docente,0.014598316431045533,ensino
docente,0.014504539251327515,aluna
docente,0.014466954946517945,reitor
docente,0.014465441226959228,curricular
docente,0.014353060483932496,estudantil
docente,0.014312600612640381,Professores
docente,0.014140605688095094,pós-graduação
docente,0.013914852857589722,universidade
docente,0.013886932492256164,Professor
docente,0.013748330354690553,coordenador
docente,0.013596415996551514,professoras
docente,0.013374269723892213,estudantes
docente,0.0133212411403656,colega
docente,0.013275861263275146,pesquisador
docente,0.013119214653968812,escola
docente,0.013086497783660889,educativo
docente,0.013078869938850404,investigador
docente,0.012972247838973999,educadores
docente,0.012913995504379272,instituição
docente,0.01289061462879181,continuada
docente,0.01281757390499115,pedagogia
docente,0.012691744089126588,formação
docente,0.012688408732414246,aprendizagem
docente,0.012643123149871826,funcionário
docente,0.012605750799179078,Professora
aluno,0.028,aluno
aluno,0.021704410314559937,professor
aluno,0.01986101531982422,estudante
aluno,0.01924240469932556,alunos
aluno,0.01873393678665161,Aluno
aluno,0.017778642892837523,aluna
aluno,0.01771983814239502,educador
aluno,0.017234736919403075,docente
aluno,0.015704391479492187,professora
aluno,0.01568441104888916,escola
aluno,0.015495481491088868,aula
aluno,0.015469491243362428,participante
aluno,0.015189706802368164,escolar
aluno,0.01495420742034912,instrutor
aluno,0.01488779067993164,Professor
aluno,0.014881283521652222,acadêmico
aluno,0.014860463619232179,indivíduo
aluno,0.014850693702697754,colega
aluno,0.014805131912231446,garoto
aluno,0.014759016036987305,professores
aluno,0.014658701658248901,turma
aluno,0.014610331058502197,aprendizagem
aluno,0.014454222679138184,aprendizado
aluno,0.014444990158081055,pedagógico
aluno,0.014435644149780274,cidadão
aluno,0.014270728826522827,filho
aluno,0.014171003580093385,ensino
aluno,0.014133841514587403,estudantes
aluno,0.01412262463569641,didático
aluno,0.013995482206344605,candidato
aluno,0.013979661583900451,curso
aluno,0.013962961435317993,pesquisador
aluno,0.01394871211051941,leitor
aluno,0.01392799985408783,menino
aluno,0.013863428950309753,funcionário
aluno,0.01366714859008789,discípulo
aluno,0.01365737283229828,criança
aluno,0.01365111517906189,universitário
aluno,0.013623417615890504,rapaz
aluno,0.01360298490524292,letivo
aluno,0.013589593410491943,aprendiz
aluno,0.013547554731369019,orientador
aluno,0.013531503796577454,ouvinte
aluno,0.013523649811744691,usuário
aluno,0.013482075095176698,adolescente
aluno,0.013439671754837037,colaborador
aluno,0.01335386371612549,aulas
aluno,0.013305453062057495,colégio
aluno,0.013145103096961975,educacional
aluno,0.01298559594154358,paciente
ensino,0.024,ensino
ensino,0.016704700469970704,Ensino
ensino,0.01608186721801758,educacional
ensino,0.01576967811584473,educação
ensino,0.014502432346343994,escolas
ensino,0.014152862548828126,escolar
ensino,0.013904778957366944,pedagógico
ensino,0.013757583618164064,aprendizagem
ensino,0.013643025398254394,educacionais
ensino,0.013340161800384522,educativo
ensino,0.013337124824523925,escola
ensino,0.01323914337158203,curso
ensino,0.01317418384552002,universitário
ensino,0.013160164833068849,pedagogia
ensino,0.012907854080200195,alfabetização
ensino,0.01275124740600586,médio
ensino,0.012656704902648926,instituições
ensino,0.012608685493469239,pós-graduação
ensino,0.012598560333251954,aprendizado
ensino,0.012583418369293213,professores
ensino,0.012512842655181886,docente
